DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2012-0500-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000197,Typhoon Bopha,PHL,Philippines,South-eastern Asia,Asia,Region XI (Davao Region) province,,,Yes,No,No,,260.0,Kph,,,,2012,12.0,4.0,2012,12.0,4.0,1901.0,2666.0,6243998.0,,6246664.0,,,,,898352.0,1192233.0,75.3503857,"[{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""}]",2014-07-29,2023-09-25
2013-0433-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2013-000139,Typhoon Haiyan (Yolanda),PHL,Philippines,South-eastern Asia,Asia,"Samar, Leyte districts (Region VIII (Eastern Visayas) province), Cebu district (Region VII (Central Visayas) province), Iloilo, Capiz, Aklan districts (Region VI (Western Visayas) province), Palawan district (Region IV (Southern Tagalog) province)",,Surge,Yes,Yes,Yes,865152.0,315.0,Kph,,,,2013,11.0,8.0,2013,11.0,8.0,7354.0,28689.0,16078181.0,,16106870.0,,,700000.0,915581.0,10000000.0,13079735.0,76.45414599,"[{""adm2_code"":24246,""adm2_name"":""Aklan""},{""adm2_code"":24248,""adm2_name"":""Capiz""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24258,""adm2_name"":""Leyte""},{""adm2_code"":24261,""adm2_name"":""Samar""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2014-07-29,2023-09-25
2014-0479-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2014-000160,Typhoon 'Hagupit' (Ruby),PHL,Philippines,South-eastern Asia,Asia,"Bataan district (Region III (Central Luzon) province), Agusan Del Norte, Agusan Del Sur, Surigao Del Sur, Surigao Del Norte districts (Region XIII (Caraga) province), National Capital region (NCR), Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas) provinces",,"Flood|Slide (land, mud, snow, rock)",Yes,No,No,8139.0,210.0,Kph,,,,2014,12.0,12.0,2014,12.0,12.0,18.0,916.0,4149484.0,,4150400.0,,,,,113878.0,146572.0,77.69440613,"[{""adm1_code"":2355,""adm1_name"":""National Capital region (NCR)""},{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""},{""adm1_code"":2362,""adm1_name"":""Region VI (Western Visayas)""},{""adm1_code"":2363,""adm1_name"":""Region VII (Central Visayas)""},{""adm1_code"":2364,""adm1_name"":""Region VIII (Eastern Visayas)""},{""adm1_code"":67166,""adm1_name"":""Region IV-A (Calabarzon)""},{""adm1_code"":67167,""adm1_name"":""Region IV (Southern Tagalog)""},{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":24278,""adm2_name"":""Surigao Del Sur""},{""adm2_code"":67169,""adm2_name"":""Surigao Del Norte""},{""adm2_code"":24220,""adm2_name"":""Bataan""}]",2014-12-12,2023-09-25
2021-0813-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2021-000202,Typhoon 'Rai' (Odette),PHL,Philippines,South-eastern Asia,Asia,"Eastern Visayas, Northern Mindanao, Davao, Caraga, Surigao del Norte, Dinagat Islands, Southern Leyte, Bohol, Cebu, Negros Oriental, Palawan, Iliolo",,,No,No,No,,240.0,Kph,,,,2021,12.0,16.0,2021,12.0,17.0,457.0,1371.0,10607625.0,,10608996.0,,,,,915271.0,1029210.0,88.92949348,"[{""adm1_code"":2364,""adm1_name"":""Region VIII (Eastern Visayas)""},{""adm1_code"":2368,""adm1_name"":""Region XIII (Caraga)""},{""adm1_code"":67160,""adm1_name"":""Region X (Northern Mindanao)""},{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""},{""adm2_code"":24250,""adm2_name"":""Iloilo""},{""adm2_code"":24252,""adm2_name"":""Bohol""},{""adm2_code"":24253,""adm2_name"":""Cebu""},{""adm2_code"":24254,""adm2_name"":""Negros Oriental""},{""adm2_code"":24233,""adm2_name"":""Palawan""}]",2021-12-16,2023-09-25
2023-0464-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2023-000121,Tropical cyclone 'Doksuri' (Egay),PHL,Philippines,South-eastern Asia,Asia,"Luzon Isl., Region 3, 1 (Ilocos), 6, 2 (Cagayan), 12, 5, 11 and 10, CAR, Mimaropa, NCR, Calabarzon, BARMM",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,240.0,Kph,,,,2023,7.0,21.0,2023,7.0,27.0,39.0,171.0,5385066.0,,5385237.0,,,,,284256.0,284256.0,100.0,,2023-07-24,2024-08-23
