DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1966-0027-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,Iloilo City,,,Yes,No,No,,,,,,,1966,2.0,7.0,1966,2.0,7.0,,,10430.0,,10430.0,,,,,12000.0,112650.0,10.65249707,,2003-07-01,2023-09-25
1966-0091-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Aning,PHL,Philippines,South-eastern Asia,Asia,"Visayas, South Luzon",,,Yes,No,No,,,Kph,,,,1966,12.0,28.0,1966,12.0,28.0,18.0,,196000.0,90000.0,286000.0,,,,,1000.0,9387.0,10.65249707,,2003-07-01,2023-09-25
1967-0071-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Emma (Welming),PHL,Philippines,South-eastern Asia,Asia,"Samar Island, Visayas, Bicol, Southern Tagalog, Central Luzon",,,Yes,No,No,,,Kph,,,,1967,11.0,3.0,1967,11.0,3.0,107.0,,137000.0,,137000.0,,,,,26500.0,242056.0,10.94786822,,2003-07-01,2023-09-25
1968-0024-PHL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PHL,Philippines,South-eastern Asia,Asia,Mindanao,,,No,No,No,,,Km2,,,,1968,1.0,16.0,1968,1.0,16.0,29.0,,,,,,,,,,,11.41553662,,2003-07-01,2023-09-25
1968-0041-PHL,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Mayon,PHL,Philippines,South-eastern Asia,Asia,"Albay province, Luzon",,,Yes,No,No,,,,,,,1968,4.0,20.0,1968,4.0,20.0,3.0,,45000.0,6000.0,51000.0,,,,,5000.0,43800.0,11.41553662,,2003-07-01,2023-09-25
1968-0061-PHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PHL,Philippines,South-eastern Asia,Asia,"Luzon Is., Manila",,Tsunami/Tidal wave,Yes,No,No,,,Moment Magnitude,16.316,122.067,,1968,8.0,2.0,1968,8.0,2.0,271.0,261.0,,,261.0,,,,,5000.0,43800.0,11.41553662,,2004-01-29,2023-09-25
1968-0065-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Shirley,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Kph,,,,1968,8.0,17.0,1968,8.0,17.0,,,,,,,,,,,,11.41553662,,2003-07-01,2023-09-25
1968-0083-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Mamie, Nina, Ora",PHL,Philippines,South-eastern Asia,Asia,"South Visayas, Samar, Luzon",,,Yes,No,No,,,Kph,,,,1968,11.0,22.0,1968,11.0,22.0,50.0,,187330.0,39313.0,226643.0,,,,,9600.0,84096.0,11.41553662,,2003-07-01,2023-09-25
1969-0080-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Viola,PHL,Philippines,South-eastern Asia,Asia,North,,,No,No,No,,,Kph,,,,1969,7.0,21.0,1969,7.0,21.0,11.0,,,,,,,,,,,12.03909708,,2003-07-01,2023-09-25
1969-0115-PHL,Yes,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Kanlaon,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,,,,,1969,10.0,5.0,1969,10.0,5.0,,,1700.0,,1700.0,,,,,,,12.03909708,,2003-07-01,2023-09-25
1969-0116-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,"Binondo, Manila",,,No,No,No,,,,,,,1969,1.0,1.0,1969,1.0,1.0,,,1192.0,,1192.0,,,,,636.0,5283.0,12.03909708,,2003-07-01,2023-09-25
1969-0117-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,"Catbalogan, Western Samar",,,No,No,No,,,,,,,1969,2.0,27.0,1969,2.0,27.0,,,212.0,,212.0,,,,,382.0,3173.0,12.03909708,,2003-07-01,2023-09-25
1969-0118-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,"Cebu city, Lapu-Lapu city",,,No,No,No,,,,,,,1969,3.0,8.0,1969,3.0,8.0,,,500.0,,500.0,,,,,1018.0,8456.0,12.03909708,,2003-07-01,2023-09-25
1969-0119-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,Cotabato city,,,No,No,No,,,,,,,1969,4.0,12.0,1969,4.0,12.0,,,200.0,,200.0,,,,,763.0,6338.0,12.03909708,,2003-07-01,2023-09-25
1969-0120-PHL,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,PHL,Philippines,South-eastern Asia,Asia,"Sangay, Negros Occidental",,,No,No,No,,,,,,,1969,3.0,23.0,1969,3.0,23.0,,,152.0,,152.0,,,,,509.0,4228.0,12.03909708,,2003-07-01,2023-09-25
1970-0004-PHL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,PHL,Philippines,South-eastern Asia,Asia,Luzon,,,No,No,No,,,Moment Magnitude,15.791,121.63,,1970,4.0,7.0,1970,4.0,7.0,14.0,200.0,,,200.0,,,,,,,12.74196873,,2004-04-05,2023-09-25
1970-0043-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Fran & Georgia,PHL,Philippines,South-eastern Asia,Asia,"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",,,Yes,No,No,,,Kph,,,,1970,8.0,31.0,1970,8.0,31.0,137.0,,78000.0,67200.0,145200.0,,,,,2353.0,18467.0,12.74196873,,2003-07-01,2023-09-25
1970-0056-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,"Joan, Kate",PHL,Philippines,South-eastern Asia,Asia,"(1) Bicol area, (2) Mindanao",,,Yes,No,No,,,Kph,,,,1970,10.0,13.0,1970,10.0,13.0,1551.0,985.0,1214000.0,,1214985.0,,,,,85500.0,671011.0,12.74196873,,2003-07-01,2023-09-25
1970-0064-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Patsy,PHL,Philippines,South-eastern Asia,Asia,Manila (Quezon province),,,Yes,No,No,,,Kph,,,,1970,11.0,19.0,1970,11.0,19.0,786.0,2075.0,430000.0,,432075.0,,,,,97656.0,766412.0,12.74196873,,2003-07-01,2023-09-25
1970-0076-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Oyang,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,9.0,4.0,1970,9.0,4.0,42.0,,,,,,,,,,,12.74196873,,2003-07-01,2023-09-25
1970-0077-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Katy (Pitang),PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,9.0,8.0,1970,9.0,8.0,,,1326.0,,1326.0,,,,,598.0,4693.0,12.74196873,,2003-07-01,2023-09-25
1970-0078-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Sening,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,9.0,12.0,1970,9.0,12.0,575.0,1593.0,,,1593.0,,,,,12110.0,95040.0,12.74196873,,2003-07-01,2023-09-25
1970-0079-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Titang,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,9.0,16.0,1970,9.0,16.0,631.0,76.0,,,76.0,,,,,47397.0,371975.0,12.74196873,,2003-07-01,2023-09-25
1970-0080-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Yoling,PHL,Philippines,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1970,11.0,17.0,1970,11.0,17.0,80.0,248.0,17044.0,,17292.0,,,,,12785.0,100338.0,12.74196873,,2003-07-01,2023-09-25
1971-0026-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,PHL,Philippines,South-eastern Asia,Asia,"Visayas, Palawan",,,No,No,No,,,Kph,,,,1971,4.0,22.0,1971,4.0,22.0,95.0,,,,,,,,,700.0,5268.0,13.2889561,,2003-07-01,2023-09-25
1971-0036-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dinah (Herming),PHL,Philippines,South-eastern Asia,Asia,Central,,,No,No,No,,,Kph,,,,1971,5.0,24.0,1971,5.0,24.0,57.0,3.0,,32500.0,32503.0,,,,,590.0,4440.0,13.2889561,,2003-07-01,2023-09-25
1971-0054-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Elaine,PHL,Philippines,South-eastern Asia,Asia,Central,,,No,No,No,,,Kph,,,,1971,10.0,2.0,1971,10.0,2.0,37.0,,,12000.0,12000.0,,,,,,,13.2889561,,2003-07-01,2023-09-25
1971-0055-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,PHL,Philippines,South-eastern Asia,Asia,North Luzon,,,No,No,No,,,Kph,,,,1971,10.0,9.0,1971,10.0,9.0,57.0,8.0,,2000.0,2008.0,,,,,,,13.2889561,,2003-07-01,2023-09-25
1972-0015-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Kit (Asiang),PHL,Philippines,South-eastern Asia,Asia,Visayan Islands,,,No,No,No,,,Kph,,,,1972,1.0,6.0,1972,1.0,6.0,204.0,28.0,,,28.0,,,,,23000.0,167592.0,13.72380635,,2003-07-01,2023-09-25
1972-0040-PHL,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Ora,PHL,Philippines,South-eastern Asia,Asia,South Luzon,,,No,No,No,,,Kph,,,,1972,6.0,23.0,1972,6.0,23.0,131.0,,385000.0,,385000.0,,,,,15000.0,109299.0,13.72380635,,2003-07-01,2023-09-25
