DisNo.,Year,ISO,Country,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2012-0120-JPN,2012,JPN,Japan,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,Eastern Asia,Asia,Niigata province,,,No,No,No,,150.0,Kph,,,,2012,4.0,3.0,2012,4.0,4.0,4.0,372.0,,,372.0,,,841000.0,1116119.0,,,75.3503857,"[{""adm1_code"":1678,""adm1_name"":""Niigata""}]",2013-03-28,2023-09-25
2012-0195-JPN,2012,JPN,Japan,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Eastern Asia,Asia,"Kumamoto, Ooita provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2012,7.0,12.0,2012,7.0,13.0,30.0,,48135.0,,48135.0,,,,,1400000.0,1857987.0,75.3503857,"[{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1679,""adm1_name"":""Ooita""}]",2013-02-05,2023-09-25
2012-0383-JPN,2012,JPN,Japan,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,Eastern Asia,Asia,North-East,,,No,No,No,,,,,,,2012,9.0,24.0,2012,9.0,24.0,13.0,,,,,,,,,,,75.3503857,,2012-09-24,2023-09-25
2012-0414-JPN,2012,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2012-000159,Typhoon Bolaven,Eastern Asia,Asia,"Okinawa, Kagosima province",,,No,No,No,,,Kph,,,,2012,8.0,25.0,2012,8.0,25.0,,,,,,,,,,86000.0,114133.0,75.3503857,"[{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2013-02-06,2023-09-25
2012-0451-JPN,2012,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Jelawat,Eastern Asia,Asia,"Okinawa, Kagosima, Mie provinces",,,No,No,No,,126.0,Kph,,,,2012,9.0,29.0,2012,9.0,30.0,2.0,180.0,18045.0,,18225.0,,,,,27400.0,36363.0,75.3503857,"[{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2013-01-04,2023-09-25
2012-0574-JPN,2012,JPN,Japan,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,Eastern Asia,Asia,Tukubasi district (Ibaraki province),,,No,No,No,,,Kph,,,,2012,5.0,6.0,2012,5.0,6.0,3.0,59.0,2481.0,,2540.0,,,,,,,75.3503857,"[{""adm2_code"":34553,""adm2_name"":""Tukubasi""}]",2013-02-05,2023-09-25
2012-0588-JPN,2012,JPN,Japan,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Sanba,Eastern Asia,Asia,Okinawa province,,,No,No,No,,,Kph,,,,2012,9.0,15.0,2012,9.0,17.0,,,25250.0,,25250.0,,,,,31000.0,41141.0,75.3503857,"[{""adm1_code"":1681,""adm1_name"":""Okinawa""}]",2013-02-06,2023-09-25
2013-0046-JPN,2013,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,Tookyoo province,,,No,No,No,,,Kph,,,,2013,1.0,14.0,2013,1.0,14.0,2.0,1569.0,,,1569.0,,,,,,,76.45414599,"[{""adm1_code"":1690,""adm1_name"":""Tookyoo""}]",2013-02-27,2023-09-25
2013-0080-JPN,2013,JPN,Japan,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,Eastern Asia,Asia,Hokkaidoo province,,,No,No,No,,,Kph,,,,2013,2.0,23.0,2013,3.0,3.0,9.0,,1152.0,,1152.0,,,,,14200.0,18573.0,76.45414599,"[{""adm1_code"":1661,""adm1_name"":""Hokkaidoo""}]",2013-04-08,2023-09-25
2013-0127-JPN,2013,JPN,Japan,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usb000g5yg,,Eastern Asia,Asia,Hyogo province,,,No,No,No,,5.8,Moment Magnitude,34.369,134.828,,2013,4.0,12.0,2013,4.0,12.0,,32.0,8406.0,,8438.0,,,,,,,76.45414599,"[{""adm1_code"":1662,""adm1_name"":""Hyoogo""}]",2013-05-14,2023-09-25
