Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,Puerto Rico,PRI,..,1.33403790943363,1.73458044667019,1.75939721404466,1.76134452253448,1.76356513177161,1.76070081096318,1.75601095185577,1.83743346413083,1.86480823540129,1.83782908627076,..,1.70815975115259,1.67060185236122,1.60589764155698,1.54799092130014,1.52629247349224,1.5179258243089,1.58990158743985,1.53527803133534,1.44535136859953,1.42717981228643,1.39774989673486,1.42429594348368,1.32042022721635,1.34433948160005,1.23225688901229,1.25428692114254,1.23585840683989,1.25291014037553,1.22904559873209,1.20947075475765,1.19942319989437,1.20523000029527,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,Puerto Rico,PRI,..,4.86260438800741,5.38124587046275,5.43203755635778,5.34564468219722,5.25462478962649,5.14814691927403,5.07703625922037,5.14773772733805,5.1037997206713,5.06361362683112,..,5.32886776597266,5.24797672978296,5.23809017363992,5.07343811098382,5.13861574573368,5.17513005151192,5.4324079692339,5.365596467198,5.14019723082187,5.09135988938526,5.025871382271,5.13186317529351,4.79293588107969,4.89103116344969,4.47831220177614,4.59898418119643,4.56000755040257,4.65695030608352,4.60980312950161,4.52322373230414,4.48785664483295,4.51159336210689,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,Puerto Rico,PRI,..,3.41177655627342,3.78507006149056,3.83770509209966,3.7996686306997,3.76610008523791,3.72235207767117,3.69186156345638,3.76168776176842,3.74995478541635,3.72423441346669,..,3.73682410980316,3.6684679643005,3.61391237200788,3.50296026820743,3.54911816305376,3.58163189496221,3.77623827347712,3.73135581631356,3.58025134220564,3.5596846464715,3.49962941612452,3.57816498907044,3.35032347748562,3.41308919832149,3.20473378421045,3.2837619195153,3.25891010890428,3.30438352415272,3.27181223507826,3.2100361321257,3.22323396646443,3.27979511405831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Puerto Rico,PRI,..,1.89169457507215,1.47170412191171,1.43850622131779,1.40341761355281,1.36950881529131,1.3359579825555,1.29907054067329,1.28337337273902,1.28609313633101,1.26082177345361,..,1.50656962829092,1.54577375157638,1.56064883637294,1.54076610314573,1.48621543383171,1.48882892861726,1.12812945330367,1.4365148101854,2.07666216275464,2.11897340436705,2,1.96246526693496,2.02465651726903,2.18535389277064,2.46042059737388,2.82686150986265,2.69786397746272,2.88108379327647,3.50539468618345,3.38647327864636,3.44475352091642,3.57510367800666,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Puerto Rico,PRI,..,0.198820037496406,0.174266497490428,0.165146837079055,0.156609417476611,0.148270447140317,0.140372180288094,0.132935056582323,0.127510360216768,0.120251434818256,0.116614631307418,..,0.183747153252236,0.191001370896936,0.191094806691825,0.189602198360624,0.186516956275126,0.531680937184532,0.318889265513186,0.347129155662685,0.364217216202285,0.186901798277488,0.185192073152826,0.192197039925838,0.202893347881418,0.218076422430376,0.203677031998334,0.42086786762469,0.217189584833755,0.223856951963742,0.247624411484746,0.475166332166174,0.25448586347856,0.255809396499196,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Puerto Rico,PRI,..,3.07364099432095,2.48156784327161,2.4154439675875,2.34906328817142,2.27717936193732,2.20495039649623,2.13364834908412,2.11584804874544,2.12325787533567,2.07307411492396,..,2.5443970612336,2.61685559800422,2.66823360914357,2.62607275895424,2.50733216539218,2.22789090201828,1.74113617096356,2.2473351949541,3.32792521342759,3.50668713853774,3.31779155057713,3.23918961176703,3.31947649833001,3.59052494428741,3.91754281048544,4.38609057268522,4.29327505971352,4.63288142366683,5.63920032316334,5.29732194090505,5.43826244788945,5.54597499633424,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Puerto Rico,PRI,..,22.2700334900866,13.9342554295689,13.7236240576455,13.4991813805747,13.2515953843719,13.0581102333459,12.8802848830619,12.796766890004,12.4905525317311,12.3776560470208,..,14.1660723880232,14.4348647277942,14.7175868445319,14.8967353829327,15.6376898987268,18.1141556520623,19.1781190877675,19.4732805686241,19.0096176457693,19.3969243497328,19.5832990200115,19.9658927370953,21.6549344456389,22.2028134666308,21.8804758634365,21.6430858205102,21.6726933395544,22.7695114719701,23.1743081409379,23.9043386074658,24.0121223464944,24.0040961187874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Puerto Rico,PRI,..,14.6817057220488,8.0645414837355,7.84985998420335,7.63544782565212,7.41167762361443,7.21421707701754,7.03808464815238,6.97798152934458,6.82814065773891,6.75752251887604,..,8.29239571182581,8.53388844023615,8.79540145249585,8.89336797986117,8.73483126529294,9.70472719381359,10.1959351086856,11.2168451357871,10.9182087838846,10.8503548621527,11.6383234048718,11.9517789214589,13.8118738995658,14.5002880442691,14.0947109044215,15.0472847128447,16.2889930937324,17.5308692996836,18.1080005492421,19.1326298444692,19.2596351247447,19.4447352386168,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Puerto Rico,PRI,..,27.5687543561273,18.5029487954861,18.2298794774199,17.9463883970824,17.5920546372229,17.3056504860812,17.0605984002904,16.9875675345332,16.5566033107319,16.3680425022913,..,18.7750839473198,19.1001579646911,19.5075475577677,19.7188702673408,21.0618179215527,24.6074896392825,25.9822042055223,25.6174174056892,24.9219133707487,25.5355124955229,25.3525331210553,25.7463552271886,27.2293975143705,27.7050685994603,26.9075472781537,25.9177047771283,25.1351449459493,26.2234258345393,26.492686905025,27.0365275627068,26.9818185347735,26.7112720503388,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Puerto Rico,PRI,..,75.8383551813901,84.5940404485194,84.8378697210368,85.0974010058725,85.3788958003368,85.6059317840986,85.8206445762648,85.919859737257,86.2233543319379,86.3616130233741,..,84.3273579836858,84.0194586779991,83.7218623128686,83.5625936229403,82.8760946674415,80.3970154193204,79.6937514589288,79.0901246504278,78.9137201914761,78.4841022459001,78.4167009799885,78.0716419959697,76.320409037092,75.6119157023201,75.6590184359211,75.5300526696272,75.6295310506205,74.3494959631437,73.3203892795234,72.7091881138878,72.5430245732388,72.4208002032059,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Puerto Rico,PRI,..,85.1194742404548,91.7609674485453,91.9849931787176,92.2079427568713,92.4400519292453,92.6451824952468,92.8287538300922,92.8945081104387,93.0516079074428,93.1256440606396,..,91.523857134922,91.2751101888669,91.0132845953918,90.9172433377673,91.0784447673817,89.7635918690019,89.4851756258012,88.4360257085502,88.7175739999131,88.9627433395698,88.1764845219754,87.8558242495924,85.9852327525528,85.281436194706,85.7013951551329,84.5320662795762,83.494043090233,82.2450441514788,81.6446077689832,80.3919643242052,80.4856201248353,80.299455364884,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Puerto Rico,PRI,..,69.3576046495518,79.0154833612423,79.3546765549926,79.7045483147462,80.1309373848514,80.4893991174226,80.8059152957648,80.8965844167213,81.3201388139324,81.5588833827847,..,78.6805189914466,78.2829864373047,77.8240415771524,77.655056973705,76.4306872471562,73.1644698454495,72.2766596235141,72.1352473993567,71.7501614158237,70.9578003659393,71.3296753283675,71.0144551610444,69.4511259872995,68.7044064562523,69.1749099113609,69.6962046501864,70.5715799943372,69.1436927417939,67.8681127718116,67.6659932871662,67.579919017337,67.7427529533269,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Puerto Rico,PRI,..,32.16,28.549,28.842,28.758,28.655,29.123,29.389,29.051,29.253,30.372,30.413,28.643,28.793,28.847,29.597,30.547,32.673,33.493,33.922,33.78,33.115,32.815,32.277,32.11,32.935,30.58,30.633,30.036,29.907,29.912,29.488,27.691,27.129,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Puerto Rico,PRI,29.64,32.03,..,28.86,..,..,..,..,..,..,..,..,..,29.5,29,29.8,..,32.86,33.79,34.19,34.05,32.45,32.33,31.49,..,31.4,31.44,31.63,31.57,30.59,..,29.72,29.09,29.8,..,29.77,27.75,26.22,23.94,23.91,22.91,20.18,21.6,..,22.07,22.08,22.42,22.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Puerto Rico,PRI,..,51.55,41.335,42.41,42.836,43.63,45.454,46.742,46.056,46.655,49.12,48.785,41.101,40.974,40.094,41.397,43.652,47.497,49.609,51.123,51.821,51.654,50.606,50.094,50.564,51.594,52.971,52.837,52.155,50.573,50.812,49.884,49.122,50.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Puerto Rico,PRI,55.08,51.86,..,42.39,..,..,..,..,..,..,..,..,..,42.5,40.3,41.7,..,47.86,50.04,51.48,52.33,50.66,49.85,49.63,..,52.36,53.11,53.57,52.8,51.71,..,49.87,50.04,54.01,..,52.89,49.94,47.58,45.21,45.5,43.17,38.99,42.6,..,45.36,46.16,46.72,47.73,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Puerto Rico,PRI,..,41.309,34.56,35.218,35.368,35.68,36.774,37.505,36.991,37.365,39.099,38.953,34.503,34.525,34.141,35.154,36.72,39.657,41.088,42.03,42.286,41.858,41.208,40.684,40.818,41.74,41.15,41.117,40.486,39.678,39.805,39.152,37.855,38.255,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Puerto Rico,PRI,41.35,41.06,..,35.21,..,..,..,..,..,..,..,..,..,35.6,34.1,35.1,36.7,39.65,41.07,42,42.29,40.64,40.3,39.86,..,40.95,41.29,41.76,41.3,40.32,..,39.07,38.84,41.07,..,40.48,38.15,36.21,33.91,34.04,32.51,29.11,31.5,..,33.08,33.5,33.95,34.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Puerto Rico,PRI,..,21.629,14.105,14.537,13.708,13.025,12.465,11.752,11.046,11.529,11.968,11.854,14.145,14.257,14.257,14.192,15.399,17.906,17.177,19.706,22.546,21.727,21.889,20.454,20.841,21.797,19.172,19.508,17.694,18.473,18.569,18.067,13.603,12.782,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,16.7,14.4,14.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Puerto Rico,PRI,..,30.283,19.024,20.243,21.252,23.107,25.516,27.197,25.576,27.065,27.599,27.423,18.893,18.907,17.964,18.24,20.347,24.163,27.615,30.523,32.777,32.569,31.619,30.941,30.264,31.607,33.04,30.85,29.406,28.244,28.948,28.261,25.241,27.563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,22,20,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Puerto Rico,PRI,..,26.007,16.568,17.384,17.46,18.024,18.94,19.444,18.312,19.33,19.859,19.763,16.531,16.598,16.126,16.235,17.895,21.059,22.437,25.161,27.713,27.212,26.822,25.778,25.622,26.743,26.143,25.192,23.55,23.357,23.758,23.166,19.428,20.181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,19.2,17.2,17.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,Puerto Rico,PRI,..,0.11,0.49,0.47,0.52,0.41,0.56,0.62,0.48,0.68,0.5,..,0.47,0.39,0.22,0.22,0.22,0.23,0.21,0.2,0.18,0.18,0.2,0.18,0.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",EG.USE.COMM.GD.PP.KD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,Puerto Rico,PRI,..,..,22.00395,..,..,..,..,..,..,..,..,..,21.64043,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.58891,70.0923,68.89455,66.6416,62.52563,77.79463,78.49988,76.6131,..,..,..,..,..,..,..,..,..,..,..
Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,Puerto Rico,PRI,..,..,24.60614,..,..,..,..,..,..,..,..,..,23.56403,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,Puerto Rico,PRI,..,..,36.77856,..,..,..,..,..,..,..,..,..,38.58278,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.41108,29.9077,31.10545,33.3584,37.47438,22.20537,21.50012,23.3869,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Expense (current LCU),GC.XPN.TOTL.CN,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Puerto Rico,PRI,63.0814635210608,62.341293122729,60.8216247030137,67.1949349700848,68.7581646726416,68.7237240865963,59.9538818579193,60.5788840862048,60.3479655466984,54.4132763801531,52.5807627554435,53.9253263083078,60.8699853587116,57.4525819969123,64.0527265606861,62.6716662617794,63.0868096479142,68.297819398479,67.0330992632605,68.8832975340974,67.3819013968444,68.5739714691732,73.7367595292633,65.8614840101363,67.7674964310691,60.340934631144,55.9713717311561,49.6955208225183,50.604273167885,55.833036773157,54.8053784986532,53.6007138853385,60.7881565432482,66.0419968624554,58.0760052838657,52.879958159313,50.2297530155083,52.575047820694,51.9670563649626,47.7283875883231,49.3222046004422,52.9795635938488,50.7204321966445,48.5816806478204,47.32,42.7039856695029,45.2017475708563,37.3101710411881,38.2811070587805,43.4455028107433,35.2122129555581,31.1949943908104,31.8197917404548,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Puerto Rico,PRI,..,..,..,69463100000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current LCU),NE.EXP.GNFS.CN,Puerto Rico,PRI,19305400000,38465700000,62309200000,69463100000,71740000000,71091600000,60528300000,63684400000,62237400000,57910200000,59714500000,63579200000,62361300000,58351600000,64278000000,61657200000,60806600000,63953600000,60010800000,60118700000,56543200000,55080200000,55175300000,47172300000,46900800000,34901800000,30272900000,23946800000,22944400000,23811300000,21752600000,19790700000,21051200000,21323000000,16354900000,13952800000,12068100000,11571400000,10543700000,9146000000,8521200000,8881600000,8092800000,7013300000,6033300000,4767900000,4479900000,3346200000,3138400000,3338700000,2465700000,1974300000,1796800000,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Puerto Rico,PRI,19305400000,38465700000,62309200000,69463100000,71740000000,71091600000,60528300000,63684400000,62237400000,57910200000,59714500000,63579200000,62361300000,58351600000,64278000000,61657200000,60806600000,63953600000,60010800000,60118700000,56543200000,55080200000,55175300000,47172300000,46900800000,34901800000,30272900000,23946800000,22944400000,23811300000,21752600000,19790700000,21051200000,21323000000,16354900000,13952800000,12068100000,11571400000,10543700000,9146000000,8521200000,8881600000,8092800000,7013300000,6033300000,4767900000,4479900000,3346200000,3138400000,3338700000,2465700000,1974300000,1796800000,..,..,..,..,..,..,..,..,..,..,..
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,Puerto Rico,PRI,11.7102649500543,18.5130741728766,19.2577929012219,25.5092357473483,27.2422838751849,24.3157991406103,13.9066602877828,13.5863113356873,17.1861197759352,12.0824117278951,6.660814037856,6.12371429564987,16.8477306002928,11.5939774410032,19.5470530145478,21.1901042169599,20.9114224531465,20.3176444078501,16.470419468442,20.0381170738067,21.0190080652942,20.1470791808498,28.6333615761072,25.3934811898329,25.6493431433179,16.6013727286873,15.6701130043782,5.31138674032243,8.5651267781019,11.7116356003615,12.8453491415984,9.22148840803006,16.3552690509474,16.7828996106827,8.21023251850063,7.93494985939407,5.59523512224359,6.69035362324108,2.12674723498216,-1.99555383924937,0.0833497331651014,2.33294759069923,-7.18489317297267,-11.2558100872119,-10.6156862745098,-16.0170174652933,-16.4283768376232,-23.2544655799121,-22.1058024224534,-12.0081199250468,-14.7163829544156,-17.909905354801,-19.1666076361833,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
