Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Japan,JPN,..,..,83.66,..,..,91.43,..,..,..,94.1,..,..,..,..,89.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,Japan,JPN,..,..,96.39,..,..,98.71,..,..,..,98.5,..,..,..,..,97.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Japan,JPN,..,..,99.67,..,..,99.49,..,..,..,99.22,..,..,..,..,99.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,Japan,JPN,..,..,81.51,..,..,86.67,..,..,..,90.23,..,..,..,..,85.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Japan,JPN,4.73206655827599,2.73916231643641,0.353982443768544,4.05630982919357,1.39867386049733,1.39627070815007,-0.370815658304764,-0.375151860153323,-5.37473512117811,-1.27649997957296,..,..,2.69826246561485,1.56672899007917,-0.754873415353146,4.95425700020947,-5.81707494997265,-4.68225296777037,1.07876302973334,0.497468175492585,1.27628386678215,2.42064370970647,1.61666082695808,-0.450787870711451,0.5084989699631,-0.893829273073351,-1.85063238189646,0.0765459947867413,3.42891337532321,3.14129182857619,2.33593631189946,-0.895146633196731,-0.164674400421276,2.39734107387824,4.45676324163102,7.38700656123279,3.95192019700714,4.30099715781888,6.23365614527964,4.79284537289489,2.70569732498096,3.08541452630826,3.26426318089356,0.181756591251087,2.93994497994564,6.50158075624144,4.88399165104344,4.97896962436015,4.36064398430757,-2.90864459382384,7.02003709768148,7.82792333396101,5.76314427236224,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Japan,JPN,2950025576593.55,3263268802468.51,3421945163415.68,3560749861428.92,3610553138978.42,3660966234860.17,3647390798816.06,3633707544387.24,3438405388798.16,3394514144712.52,..,..,3409874805250.6,3320284806563.58,3269067380212.57,3293932400221.55,3138445732806.22,3332287387697.04,3495977917491.38,3458667095543.11,3441546496975.88,3398176123348.73,3317862493600.68,3265077268432.02,3279862490716.19,3176265728561.86,3204912171729.06,3265341641526.71,3262844065078.75,3154673058623.88,3058593704514.61,2988777759547.37,3015773353183.24,3020747751431.14,2816735765403.88,2696556621123.86,2511064147771.24,2415601504053.34,2315990805340.31,2180091403587.84,2080381915225.42,2025575960642.85,1964949134609.05,1902835573587.49,1899383319211.7,1845137297850.44,1732497569283.55,1651822687152.96,1573479615072.98,1507732757292.66,1552901132119.48,1451037744176.9,1345697570083.77,1272369103000.87,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Japan,JPN,2532538247987.93,3889565813592.97,3887388028965.93,3560749861428.92,3999113859748.18,3953215059603.92,4031133513908.75,4088190737217.58,3951137997473.32,3835811076721.88,..,..,4127895991388.44,4913791059017.2,4864600726827.73,4476727345129.27,4046832808950.2,3972074609135.01,3631690152843.46,3643194034089.73,3822505207106.36,3862864291779.83,3543442985607.18,3265130478188.51,3428353569487.95,3610168538776.3,3204096480483.75,3545794455604.16,3906754596803.98,4370283729180.46,3917260395235.75,3501491608348.55,3102233754025.2,2870567502029.46,2479234223464.35,2513167664877.73,2072392819261.02,1703630261065.3,1150163367583.76,1083773060957.29,1021752874116.45,933955898386.292,1003844878632.3,919196989376.338,882230187030.448,850630615427.551,603026173845.62,489386446607.426,432622346830.075,394792596830.198,354796938578.78,259989888741.157,197113213769.783,175026362129.456,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Japan,JPN,4.38515929364314,2.56744844644685,0.487234769682289,4.16679819901087,1.45053978168571,1.47932218527612,-0.244325853169457,-0.235115511264055,-5.09594278993629,-0.821372974806764,..,..,2.84653411451181,1.72907150403742,-0.57087479996774,4.93540834001578,-5.80530640560379,-4.72839978860073,0.962681294704936,0.433799499329041,1.26677234708393,2.38617241033094,1.39945300655877,-0.681997936153564,0.266612673690176,-1.07461853824475,-2.11697125130318,-0.161623752220066,3.19451496957271,2.8996160778302,2.05062066719468,-1.21589229934953,-0.534568594525382,1.99589301023151,4.04001921387716,6.94108652387155,3.4520408078449,3.7472184649525,5.57077824584866,4.11565336395634,1.99377252855027,2.37283050793344,2.51475671098014,-0.604725989366329,2.07211922927337,5.53678003250046,3.87357874145027,3.86006276123905,3.04085453110781,-4.1910098569453,5.52460960587896,6.32802191131168,3.46770870691763,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Japan,JPN,23891.1026789675,25726.8339795535,26886.0206434495,28006.3068674064,28412.5494898991,28832.8626379058,28762.4165002725,28694.791597666,27232.5214341575,27008.8408627389,..,..,26755.6577759081,26015.1282746365,25572.9536208379,25719.7813712934,24510.1074824574,26020.6881589299,27312.11410451,27051.692520712,26934.849279393,26597.9142566881,25978.0335865006,25619.5007135001,25795.4249794822,25082.8448686487,25355.3178143122,25903.691516748,25945.6258107203,25142.4465906647,24433.955683224,23942.9760676395,24237.6801541751,24367.9435274043,22887.4514735951,21998.6997758477,20570.8586764145,19884.4397034404,19166.238861775,18154.871243955,17437.21588193,17096.353482806,16700.0886836679,16290.4241491305,16389.5359324506,16056.8194882254,15214.4299677142,14647.0643950606,14102.6916464824,13686.5049408386,14285.1990407194,13537.3152235036,12731.6534062818,12304.953463641,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Japan,JPN,20510.0361844857,30664.4104411987,30542.9776938773,28006.3068674064,31470.2529175311,31134.5419431364,31788.5160901558,32283.7707170925,31293.4159991868,30520.0704825716,..,..,32389.6268303067,38500.5841855472,38054.3422029345,34955.3161952781,31604.2766246003,31016.5669173376,28372.3576600453,28494.955449886,29916.3767549197,30235.081846415,27744.272425243,25619.9182250266,26963.2759163497,28509.3582043599,25348.8645607892,28128.5010400387,31065.9016738947,34830.748925501,31293.5211877147,28050.3056849654,24932.5598073153,23156.4607630398,20145.0749048448,20502.5996906274,16977.2245145043,14023.7258282322,9518.30455558943,9025.19974482058,8564.06475828283,7882.81480744676,8531.6704654244,7869.36561487187,7612.65154051642,7402.38802770401,5295.64927151205,4339.49409538839,3877.48242702155,3583.74572747588,3263.79109513444,2425.55032971188,1864.88938919537,1692.66232246121,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Japan,JPN,..,10.3283785255212,3.52808772150201,6.12312195533516,6.88294130913772,7.39289032246066,6.89620560026889,6.70702596546972,4.81173284014487,3.62518603701698,..,..,3.3046099774158,3.01645406710488,3.19741932753159,3.89147161216968,1.74628101265494,5.93765718249204,8.60827178660646,8.42267153966669,8.65281574002054,8.68212828841454,7.8920079576102,7.45529174010997,8.89898506138632,9.68772582323418,11.5922244721164,13.4970703077305,14.3361353423869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Japan,JPN,..,520574602191.513,179192327025.727,282874222717.734,356384569511.406,378017082466.998,360715127293.841,357044862469.671,251311379064.054,185946715861.798,..,..,178171537377.465,194426650644.868,205095165980.862,230082367577.468,94690974254.6749,311362574884.963,406318382061.432,397939949214.845,427328191676.997,433027658396.019,362447069441.069,316394630756.329,395357373838.87,454635606884.118,480958568732.27,614307127983.329,714334362962.452,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Japan,JPN,..,10.2258901963106,3.45114060061518,6.04660876983413,6.80675733879101,7.31897701838044,6.82161441618955,6.63193437966196,4.73441170625144,3.55101210531503,..,..,3.2300085137014,2.94288764587388,3.12386407249754,3.81825083496632,1.66823174381576,5.86202909559886,8.53239151382432,8.34486535379125,8.5710230589194,8.59817885818702,7.80257956750673,7.36150145473882,8.80028563489023,9.57806451741105,11.4837072503354,13.3918533513753,14.2300693401503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Japan,JPN,..,515408949027.634,175284166362.485,279339488633.694,352439919941.369,374237709265.827,356813537054.256,353047402930.168,247272983451.681,182142111391.38,..,..,174149320664.617,189684900045.761,200377039987.791,225753205899.37,90458802426.2642,307396742041.309,402736763075.472,394263895897.313,423288776120.544,428840617616.674,358339995792.394,312414271067.803,390972430411.083,449489307821.336,476456215642.393,609518271972.354,709049354950.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Japan,JPN,0.418601996723463,0.435518281642171,0.806874968305143,0.887759372735125,0.809942415703026,0.845359290263633,0.836024386198061,0.828509586952811,0.817480494834382,0.884807900763843,..,..,0.75710010697244,0.604289845317787,0.564314080683717,0.55899016482746,0.560749596647418,0.592769288161856,0.668409167790478,0.617435573950561,0.571371483542232,0.535174660996181,0.555887552861769,0.572972033485881,0.511248882863989,0.440784790433596,0.466378884854165,0.426553008726485,0.3784403249819,0.320086014667875,0.337239757462066,0.345608837213905,0.378863571011986,0.391727100580709,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Japan,JPN,13214605227.2416,21951147089.8151,40981351542.9978,41012451549.1683,41937155379.5093,43225347408.5718,43729357906.097,44105255153.5266,42696084205.0009,45384463482.8704,..,..,40819851943.1359,38949723095.438,36197344854.5187,33050165437.109,30406289271.1255,31084006065.3922,31549530305.7479,29171537769.7191,28217767507.5889,26692237500.4872,25529601028.7509,24316322055.2647,22713378471.0135,20685604068.5476,19349946292.5306,19414180096.0564,18856750582.2834,17901395246.096,16998097614.5816,15530933449.3461,14937278105.2371,14141159688.9954,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Japan,JPN,19.770512456485,22.8248032175661,23.4523852480142,22.9143929349948,22.757773597815,22.6794170969907,22.9227833959713,23.1695464614167,24.3212313474121,25.2032371597744,..,..,23.4308499864573,23.7563930098323,24.1522451335992,24.27565503755,25.361550038493,24.2445521476983,23.0508625863293,22.8819173381136,22.5928532625559,22.5448171256282,22.8392873980651,23.0584517030473,22.8280924853601,23.0686501795187,22.7709234841164,22.0904072454408,21.5903671330161,21.8536799620173,22.2785516319435,22.0781013077356,21.3118792532009,20.4778557238134,19.4694108116802,18.7446550355673,18.7114784064127,18.419119219632,18.1665345138916,18.0451919572765,18.0070851092426,17.789519305419,17.5830336752471,16.8777308268787,16.4491666706238,16.1373095685603,16.3717473656459,16.4214881024686,16.9481073054934,17.5005601747189,17.943667378996,18.3200718253676,17.8701034317484,17.547354080878,..,..,..,..,..,..,..,..,..,..
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Japan,JPN,624123915551.469,1150423837170.93,1191151643221.15,1058592518296.59,1178350792549.68,1159655656869.4,1199006411625.04,1233418145746.19,1270270481241.02,1292749980578.21,..,..,1263299025506.32,1531227004141.97,1549220861284.44,1435292542817.57,1375213877005.1,1271350964130.91,1088022012242.94,1081085612870.47,1115771261007.9,1124439658638.12,1048913385543.23,978576099597.504,1014189217366.42,1082589450375.42,944760066885.862,1005425201286.57,1075794890585.95,1222206983918.64,1122919190196.22,992143386328.219,840253568058.732,739240730215.933,599435375929.339,579796887908.16,477063881849.26,384667672568.673,255361740479.12,238655711977.868,224421671150.808,202124127999.178,214196427286.518,186698203340.274,173939511491.939,163796634709.903,118172232271.681,96266423935.7236,88389725495.6,83870132868.1633,77626991140.5985,58328399437.5247,42901874038.9065,37266386977.3999,..,..,..,..,..,..,..,..,..,..
