Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,NaN_count
Japan,JPN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
Japan,JPN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
Japan,JPN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
Japan,JPN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,5.76314427236224,7.82792333396101,7.020037097681481,-2.908644593823837,4.360643984307572,4.978969624360147,4.883991651043445,6.501580756241438,2.9399449799456363,0.1817565912510872,3.2642631808935647,3.085414526308256,2.70569732498096,4.792845372894888,6.233656145279639,4.300997157818884,3.9519201970071407,7.387006561232795,4.456763241631023,4.732066558275989,2.3973410738782377,-0.1646744004212763,-0.895146633196731,2.3359363118994594,3.141291828576186,3.428913375323205,0.0765459947867412,-1.8506323818964605,-0.8938292730733508,2.7391623164364063,0.5084989699630995,-0.4507878707114514,1.616660826958082,2.420643709706468,1.2762838667821512,0.4974681754925854,1.078763029733338,-4.682252967770367,-5.81707494997265,4.954257000209466,-0.7548734153531456,1.56672899007917,2.698262465614846,0.3539824437685439,4.056309829193566,1.3986738604973254,1.3962707081500696,-0.3708156583047639,-0.3751518601533234,-5.374735121178105,-1.2764999795729608,,,13
Japan,JPN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,1272369103000.869,1345697570083.77,1451037744176.9038,1552901132119.483,1507732757292.6604,1573479615072.9775,1651822687152.9602,1732497569283.5525,1845137297850.4424,1899383319211.7007,1902835573587.492,1964949134609.0537,2025575960642.8496,2080381915225.421,2180091403587.844,2315990805340.311,2415601504053.3447,2511064147771.2373,2696556621123.863,2816735765403.8784,2950025576593.554,3020747751431.1445,3015773353183.2363,2988777759547.3726,3058593704514.6147,3154673058623.878,3262844065078.75,3265341641526.705,3204912171729.0625,3176265728561.857,3263268802468.508,3279862490716.1875,3265077268432.0244,3317862493600.6777,3398176123348.733,3441546496975.876,3458667095543.111,3495977917491.3813,3332287387697.0444,3138445732806.2217,3293932400221.549,3269067380212.5728,3320284806563.585,3409874805250.6025,3421945163415.6763,3560749861428.92,3610553138978.421,3660966234860.1694,3647390798816.0576,3633707544387.2383,3438405388798.159,3394514144712.515,,,12
Japan,JPN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,175026362129.456,197113213769.783,259989888741.157,354796938578.78,394792596830.198,432622346830.075,489386446607.426,603026173845.62,850630615427.551,882230187030.448,919196989376.338,1003844878632.3,933955898386.292,1021752874116.45,1083773060957.29,1150163367583.76,1703630261065.3,2072392819261.02,2513167664877.73,2479234223464.35,2532538247987.93,2870567502029.46,3102233754025.2,3501491608348.55,3917260395235.75,4370283729180.46,3906754596803.98,3545794455604.16,3204096480483.75,3610168538776.3,3889565813592.97,3428353569487.95,3265130478188.51,3543442985607.18,3862864291779.83,3822505207106.36,3643194034089.73,3631690152843.46,3972074609135.01,4046832808950.2,4476727345129.27,4864600726827.73,4913791059017.2,4127895991388.44,3887388028965.93,3560749861428.92,3999113859748.18,3953215059603.92,4031133513908.75,4088190737217.58,3951137997473.32,3835811076721.88,,,12
Japan,JPN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,3.4677087069176338,6.32802191131168,5.524609605878965,-4.1910098569453,3.0408545311078115,3.8600627612390497,3.873578741450274,5.53678003250046,2.072119229273369,-0.6047259893663295,2.514756710980137,2.3728305079334437,1.9937725285502663,4.115653363956341,5.570778245848658,3.747218464952496,3.452040807844895,6.941086523871547,4.040019213877159,4.385159293643142,1.995893010231512,-0.534568594525382,-1.2158922993495338,2.0506206671946785,2.8996160778302027,3.194514969572708,-0.1616237522200663,-2.116971251303184,-1.0746185382447493,2.5674484464468463,0.2666126736901759,-0.6819979361535644,1.3994530065587725,2.3861724103309427,1.2667723470839292,0.4337994993290408,0.962681294704936,-4.728399788600726,-5.805306405603787,4.935408340015783,-0.5708747999677399,1.729071504037421,2.846534114511812,0.4872347696822885,4.16679819901087,1.4505397816857055,1.4793221852761178,-0.2443258531694567,-0.2351155112640555,-5.095942789936288,-0.8213729748067635,,,13
Japan,JPN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,12304.953463640984,12731.653406281825,13537.3152235036,14285.199040719392,13686.504940838588,14102.69164648237,14647.06439506061,15214.42996771421,16056.819488225376,16389.53593245061,16290.424149130547,16700.08868366794,17096.353482805956,17437.215881929984,18154.871243954967,19166.238861775044,19884.439703440385,20570.858676414464,21998.699775847726,22887.451473595123,23891.10267896754,24367.943527404284,24237.680154175097,23942.976067639516,24433.95568322401,25142.446590664676,25945.62581072028,25903.69151674802,25355.3178143122,25082.844868648728,25726.833979553525,25795.424979482243,25619.50071350013,25978.033586500555,26597.91425668813,26934.84927939295,27051.69252071199,27312.114104509976,26020.688158929937,24510.10748245739,25719.781371293426,25572.95362083791,26015.128274636525,26755.657775908057,26886.020643449483,28006.306867406423,28412.549489899124,28832.862637905757,28762.416500272517,28694.791597666,27232.521434157497,27008.840862738867,,,12
Japan,JPN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1692.6623224612051,1864.8893891953696,2425.5503297118803,3263.7910951344443,3583.745727475881,3877.482427021547,4339.494095388393,5295.6492715120485,7402.388027704011,7612.651540516421,7869.365614871866,8531.670465424397,7882.814807446759,8564.064758282833,9025.199744820582,9518.30455558943,14023.725828232167,16977.224514504254,20502.59969062744,20145.074904844845,20510.03618448574,23156.460763039755,24932.55980731525,28050.30568496543,31293.521187714698,34830.748925500986,31065.90167389473,28128.501040038715,25348.864560789163,28509.35820435991,30664.41044119873,26963.27591634972,25619.91822502656,27744.27242524296,30235.081846415025,29916.37675491974,28494.95544988604,28372.357660045316,31016.56691733764,31604.276624600345,34955.31619527812,38054.34220293454,38500.58418554717,32389.62683030672,30542.977693877325,28006.306867406423,31470.252917531085,31134.54194313644,31788.516090155823,32283.770717092542,31293.415999186764,30520.07048257162,,,12
Japan,JPN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3361353423869,13.4970703077305,11.5922244721164,9.68772582323418,10.3283785255212,8.89898506138632,7.45529174010997,7.8920079576102,8.68212828841454,8.65281574002054,8.42267153966669,8.60827178660646,5.93765718249204,1.74628101265494,3.89147161216968,3.19741932753159,3.01645406710488,3.3046099774158,3.52808772150201,6.12312195533516,6.88294130913772,7.39289032246066,6.89620560026889,6.70702596546972,4.81173284014487,3.62518603701698,,,38
