Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Philippines,PHL,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,,,96.79226,,,96.17531,,93.15358,93.16523,91.57376,90.89301,94.43847,93.83803,94.10697,96.14788,97.64527,,,95.62759,94.67716,93.04913,,95.75706,,91.8589,88.98721,,89.66531,90.10381,90.4052,89.79918,88.98452,87.2988,87.45617,88.52589,90.32579,,,,,,95.57779,94.85361,95.02535,,,,,,
Philippines,PHL,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,,,,,,,,92.68579,94.29359,92.58319,88.40193,,93.91955,93.31287,96.81855,98.31281,,,,,,,,,90.24974,89.29798,,90.48919,91.35792,91.38405,90.90822,90.1468,88.48251,88.65842,89.86928,91.658,,,,,,96.23732,95.30311,95.18792,,,,,,
Philippines,PHL,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,,,,,,,,93.60039,92.08714,90.60897,93.27503,,93.75998,94.86776,95.5051,97.0053,,,,,,,,,93.39658,88.69038,,88.87823,88.90551,89.46958,88.73885,87.8736,86.16853,86.30983,87.24994,89.06713,,,,,,94.95588,94.42728,94.8704,,,,,,
Philippines,PHL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,2.463884873467918,1.5739808511689262,-9.894926842798668,-6.870049486295216,2.9142925183925854,7.5094393712681295,7.549082281309268,4.859761622297711,6.083207002710338,0.0332859690766156,2.3970112684855707,0.4597142233859728,6.006681681373863,4.257000849533441,5.129973736264915,6.112346999004359,10.76935576359601,4.332011613355974,2.091054954255881,1.415732807143712,2.991554285610775,4.759706247154895,2.197610516123462,5.0980577466529695,4.759623321851095,4.689103278667673,5.373145316537389,5.298135305830414,6.84724369854834,0.951025138909273,8.983709373382425,8.391894236651652,6.22617282956395,6.950433007021829,6.4530655203232925,6.448506954757562,4.674191184017957,3.962108244194922,-11.144281809613105,-2.1971587679237103,,
Philippines,PHL,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,,,,,,,,,,,,86948047531.2519,89090347322.15012,90492612329.24065,81538434541.12488,75936703737.79916,78149721413.5438,84018327361.90883,90360940025.8391,94752266310.76228,100516242810.2053,100549700615.70409,102959888269.89102,103433209520.65002,109646113169.38396,114313749138.48505,120178014446.22908,127523711705.69618,141257193902.22513,147376471946.77026,150458194964.82074,152588280991.97394,157153042251.32916,164633065420.95966,168251058979.66708,176828595125.80566,185244970179.1151,193931298149.35092,204351508613.163,215178328038.9941,229912112546.28583,232098634533.9984,252949701320.1218,274176972726.83267,291247704907.6717,311490681521.768,331591379290.0693,352974072444.96594,369472755421.0577,384111665923.6496,341305179409.51843,333806162734.74445,,
Philippines,PHL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,,7327913331.94127,7913438766.5976,10092143976.0132,14182340850.596,15372422185.6206,17592992784.5699,20378103570.0404,23653992506.6934,28169367198.4796,33415440889.03,36839007844.1127,37932414447.8561,33674477824.5681,30766311979.538,29981342776.2305,29164758911.1833,32839248511.4869,37991734915.2346,42928756297.7937,45668192795.9917,47404022481.024,56056580303.5836,57395771164.5038,68414709178.9026,79208058843.2962,89581861777.4551,90571146376.435,78169985253.975,89731686931.8723,84581118725.3748,79595599320.7617,84849624884.4186,87312273574.5341,92704698231.3808,105017715497.777,123619733563.454,148699594543.906,176677586983.443,175966969263.121,206135924716.328,230737385312.53,262568198012.994,287331942359.665,299541131461.62,311490681521.768,323895918510.462,333702122642.386,350371847985.215,375755437994.094,350838234571.58,361503537885.292,,
Philippines,PHL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,-0.0690057377200474,-0.9180454034748068,-12.075826552142018,-9.074920220749362,0.5350634758773936,5.065206656475013,5.094926008919472,2.468058162458292,3.61623715213301,-2.3165740680793903,0.011303899338074,-1.8810801522827632,3.551282611708345,1.8479125975319024,2.6189733350092013,3.5238939308340065,8.13278732288714,1.927699123980858,-0.147193157101924,-0.708540240346295,0.8889296961545909,2.666522545544936,0.1868587375995787,3.0831807549507744,2.8044074082415733,2.74924963133833,3.420530818800046,3.3783213622547805,4.9394740574643095,-0.8316499365788133,7.100020006975853,6.578707443492576,4.522475087989392,5.179370587524687,4.581423888768427,4.590334111803273,2.909515032191095,2.2555070370591466,-12.57794631869254,-3.6480092399933857,,
Philippines,PHL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,1750.1855908936757,1748.9778624152093,1732.9214515415144,1523.6568627684994,1385.3862180342855,1392.7989136868262,1463.3470569742028,1537.9035067807392,1575.8598598105734,1632.846689526595,1595.0205865455289,1595.2008860670535,1565.1938788102073,1620.7783368679177,1650.7289039329671,1693.9610537602614,1753.654444524411,1896.2754308759395,1932.8299157451984,1929.984922370803,1916.3102025631897,1933.344853024214,1984.8979294132373,1988.606884626779,2049.9192293852184,2107.4073161170654,2165.345203986212,2239.4115040219685,2315.066021251134,2429.418106784005,2409.2138526397016,2580.268518187954,2750.0168352560813,2874.385661546052,3023.260747072195,3161.76913715832,3306.904904397767,3403.119799691485,3479.8774062530792,3042.180294138257,2931.201275910836,,
Philippines,PHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,,190.7230694810504,200.7851058188347,249.7670031810735,342.66526111557454,362.6047359949501,404.6750484151904,456.432091076854,515.4415252866902,597.3878908361735,690.1229699475084,741.5359233732158,744.6704960904854,644.861757104971,574.910502679036,546.9784311914528,519.7797739352465,571.9611324268698,646.6026397923252,713.9639664069923,741.8617662062712,751.9703318787538,868.5081935575041,868.5364218378764,1011.2996745172908,1143.790953778048,1262.6950584396632,1245.4977295144995,1049.3753866557042,1176.8234549328015,1084.9544213620006,999.617126989787,1043.846070055564,1052.680095504017,1095.703065752773,1217.4379051750002,1406.3384861471206,1660.3093825132455,1936.1433809746725,1893.1978657709924,2178.181664368348,2395.083909618532,2678.3840885143413,2881.962226576797,2956.235255448642,3023.260747072195,3088.391866490827,3126.351967809497,3227.1861879887438,3404.1737727702543,3127.1519684829914,3174.416022803271,,
